mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,delta1,delta2,delta3,delta4,delta5,delta6,delta7,delta8,delta9,delta10,delta11,delta12,delta13,chroma1,chroma2,chroma3,chroma4,chroma5,chroma6,chroma7,chroma8,chroma9,chroma10,chroma11,chroma12,zcr,rms,label
-258.4509582519531,141.79808044433594,-58.30641555786133,14.814401626586914,-2.24951434135437,-16.494945526123047,20.829010009765625,-10.307683944702148,-10.82918930053711,-4.92733907699585,-18.931413650512695,-6.141233444213867,-11.754669189453125,1.445302963256836,0.46234965324401855,-0.6828693151473999,-0.02975991927087307,-0.11532788723707199,-0.03147107735276222,0.13830451667308807,-0.10715655237436295,0.056570518761873245,0.03612074255943298,-0.03156128525733948,0.0877702608704567,-0.0784689411520958,0.4093916118144989,0.4010879695415497,0.4119177758693695,0.44800153374671936,0.43544355034828186,0.4069507420063019,0.41019201278686523,0.4450221657752991,0.5216900110244751,0.5281128287315369,0.47797831892967224,0.4312574565410614,0.10809466805875576,0.09357862174510956,belly_pain
-191.05941772460938,-10.528780937194824,-41.96543502807617,-6.271613597869873,-33.882110595703125,-7.288356304168701,-26.031448364257812,-14.850238800048828,-16.321781158447266,1.5945547819137573,4.819672107696533,15.409241676330566,-3.355802297592163,0.49401378631591797,-0.7578305006027222,-0.4980103373527527,0.2197626233100891,0.09921871870756149,0.2105472832918167,0.021435415372252464,-0.08146201819181442,-0.05922715365886688,0.09526244550943375,0.20764614641666412,0.35995253920555115,0.3568331003189087,0.14325323700904846,0.17224659025669098,0.3504270911216736,0.3815474510192871,0.18275466561317444,0.07544498890638351,0.1380482017993927,0.2167142629623413,0.1278548538684845,0.1952061802148819,0.2945026457309723,0.20601539313793182,0.21361527169585987,0.16483178734779358,belly_pain
-193.6587371826172,135.86117553710938,-95.09773254394531,34.95194625854492,-17.922988891601562,-55.33021545410156,-1.5328186750411987,-28.567487716674805,-3.533135414123535,5.791288375854492,-11.665358543395996,9.904511451721191,-8.53727912902832,1.7519923448562622,0.5766734480857849,-0.6597364544868469,0.34885847568511963,0.03364372253417969,-0.28678345680236816,0.0017449645092710853,-0.19288942217826843,-0.0776047632098198,0.018899239599704742,-0.14873240888118744,-0.02600432001054287,0.015918685123324394,0.3292900025844574,0.3109532594680786,0.32409781217575073,0.28323256969451904,0.3073097765445709,0.3900073170661926,0.3018491864204407,0.2061861753463745,0.18131396174430847,0.1871805191040039,0.21636813879013062,0.18048237264156342,0.1408715341605392,0.20147088170051575,belly_pain
-250.9207000732422,7.2319560050964355,-13.70207405090332,8.006529808044434,-27.542964935302734,-1.643397569656372,-10.870359420776367,-8.271048545837402,-18.19141960144043,9.858678817749023,-17.847991943359375,2.4712116718292236,1.1753674745559692,0.3306378424167633,-0.198634073138237,-0.5844523310661316,0.11448603868484497,-0.07128104567527771,0.021744661033153534,-0.02386784367263317,-0.04445045068860054,0.15666957199573517,-0.0034168572165071964,0.021715188398957253,0.08418584614992142,-0.14287805557250977,0.1635747104883194,0.12426593899726868,0.13223585486412048,0.1711980551481247,0.20457936823368073,0.32663628458976746,0.35426074266433716,0.40620559453964233,0.33246883749961853,0.2958061397075653,0.26821377873420715,0.2190803438425064,0.19037992635350318,0.08827994018793106,belly_pain
-454.6082458496094,74.84061431884766,-10.727849006652832,11.515270233154297,-6.169527530670166,-16.253416061401367,7.776922702789307,-4.968304634094238,-14.353743553161621,-5.750883102416992,-4.365842342376709,-2.7062840461730957,-3.6282472610473633,0.2562015652656555,0.18184703588485718,-0.0036798936780542135,0.05230036377906799,0.034986503422260284,-0.04249157756567001,0.02729208767414093,0.027730286121368408,-0.07532864063978195,-0.0464945062994957,0.018428049981594086,0.006524533964693546,0.0004195416404400021,0.5442634224891663,0.5082485675811768,0.4788927733898163,0.5307995080947876,0.5466830730438232,0.4967346489429474,0.4464803636074066,0.4651995897293091,0.46073368191719055,0.4466578960418701,0.4821018576622009,0.5550990700721741,0.1036376953125,0.013575664721429348,belly_pain
-317.2453308105469,148.4393310546875,-71.48529052734375,30.281339645385742,-8.14432144165039,-26.861042022705078,11.089054107666016,-23.863304138183594,-4.766660690307617,-6.614857196807861,-23.719932556152344,0.6388882994651794,-13.64467716217041,1.116938591003418,0.4033985137939453,-0.4355900287628174,0.06281925737857819,-0.07783710211515427,-0.09937970340251923,0.06679344177246094,-0.08972354978322983,-0.007141957990825176,-0.026505840942263603,-0.04767551273107529,0.04747156798839569,-0.07863268256187439,0.27289003133773804,0.2148323804140091,0.35240015387535095,0.7634413242340088,0.4864109456539154,0.2972247898578644,0.34179791808128357,0.34798333048820496,0.2621942162513733,0.28728771209716797,0.3926803171634674,0.34260472655296326,0.10844302939497717,0.02300640381872654,belly_pain
-275.1174621582031,126.3394546508789,-69.379150390625,14.749834060668945,-9.018487930297852,-19.296823501586914,12.874615669250488,-20.957292556762695,-7.209799289703369,-4.715660572052002,-21.17957305908203,-5.561893463134766,-15.273152351379395,-0.3906611502170563,0.10267431288957596,0.5615237951278687,0.1771201193332672,-0.08933597803115845,-0.13620805740356445,0.09576180577278137,0.09799561649560928,-0.15529634058475494,-0.07051137089729309,0.004239311907440424,-0.03514277562499046,-0.010093145072460175,0.39703190326690674,0.41549283266067505,0.45522212982177734,0.4439779222011566,0.45048436522483826,0.5536671280860901,0.5036711692810059,0.48799189925193787,0.5146733522415161,0.40519577264785767,0.44097039103507996,0.39596065878868103,0.1356463149257991,0.056480854749679565,belly_pain
-218.05636596679688,122.9175796508789,-75.25531005859375,11.3516206741333,-31.204143524169922,-29.439151763916016,8.94511890411377,-23.741344451904297,7.056390762329102,-0.6449528336524963,-19.212947845458984,5.286506175994873,-15.541034698486328,0.013078105635941029,0.2711939811706543,0.3142985999584198,-0.07457752525806427,-0.15280872583389282,-0.04298287257552147,-0.0532592348754406,-0.08166979253292084,-0.06688077747821808,-0.01137297973036766,-0.016806110739707947,-0.009241600520908833,0.05210968852043152,0.19853608310222626,0.25495225191116333,0.25295570492744446,0.21443986892700195,0.22054283320903778,0.3004816770553589,0.4699457585811615,0.4108106791973114,0.2536320090293884,0.2312878668308258,0.25966623425483704,0.23755498230457306,0.11388547017694065,0.17908427119255066,belly_pain
-319.666259765625,137.0602264404297,-59.634246826171875,-8.455544471740723,-31.220321655273438,-47.511226654052734,-0.36260735988616943,-5.552165508270264,-7.590060710906982,-12.732770919799805,-17.945547103881836,0.20913849771022797,-3.639652729034424,0.08077152818441391,0.08162706345319748,-0.11312153935432434,-0.09618807584047318,0.1383005529642105,0.011949134059250355,-0.06523806601762772,0.04194255173206329,-0.01520830113440752,-0.03839436545968056,-0.09734020382165909,-0.10751546919345856,0.07810169458389282,0.2778010666370392,0.26173150539398193,0.2649197578430176,0.209641233086586,0.11562054604291916,0.2089310586452484,0.2006356567144394,0.11096975207328796,0.20004627108573914,0.23100386559963226,0.24896124005317688,0.24226030707359314,0.10176316352739725,0.047449879348278046,belly_pain
-295.9438171386719,103.30750274658203,-123.74485778808594,17.456396102905273,-6.967298984527588,-37.399139404296875,17.130037307739258,-1.4154458045959473,7.7641425132751465,1.4921056032180786,-12.682474136352539,5.995063304901123,-13.79222583770752,0.8696871399879456,0.3234158456325531,-0.38305333256721497,0.036693643778562546,0.002450093859806657,-0.10267128795385361,0.07115787267684937,0.011882209219038486,0.008819484151899815,0.06943922489881516,0.040486689656972885,0.005104726646095514,-0.03248560056090355,0.4662092626094818,0.5557135939598083,0.3951837420463562,0.3169642686843872,0.2920302152633667,0.29474467039108276,0.35398435592651367,0.3930468261241913,0.40390366315841675,0.4346441924571991,0.4419753849506378,0.4156239330768585,0.1951363620148402,0.07057004421949387,belly_pain
